OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Genus_2	Species
1f6adfd3ec2802b30a3761a4124428fe	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Convivina	s__Convivina	intestini
58a563107bfaaea4f72eb12c8c0110f1	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Apilactobacillus	s__Apilactobacillus	timberlakei
ddb1fd8a91b1f3fa27ece3a207fe7d81	d__Bacteria	p__Firmicutes_D	c__Bacilli					
d79f1d2a26a971b473dd84cc8cb5da52	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia	sp012277295
3d43b4c4f9bb7806de4df6e44450932b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia	pipientis_A_550493
c9f91cd40dd7d6d90e183395102338d8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia	sp012277295
033766d110aee40a0b97d6d5a985ccea	d__Bacteria							
7a33b892933665861431baf5b02e22bd	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales_877923	f__Flavobacteriaceae	g__Aequorivita		
efb06d68456c6696bebbbba7924ec89c	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium	paucimobilis
3a65d5d980d654ab68a2f37cb184fa4c	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_H		
02cb97772a42195bcc6f099ae58ab0eb	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales				
e966b63bdb9524870f12a96f9050a5f5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus		
0d9305e6561fa8d51f6c0cf5dbea528e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae			
6f4fdbd6ee06eb5a6501155ebfe24389	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus		
b45e50691d7f9febf84853d80667c79d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae			
7eb9a48ce1f480419b6ebe6c6327014a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae			
6fb4893db8bde441fc8ff09b211168db	d__Bacteria							
542af50f390b65ad0352457fba0aa79f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae			
86c15e02cd83cdc28ff7711f0a16c7f8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales_877923	f__Flavobacteriaceae	g__Flavobacterium		
56162c3b89cf704ad11ee4384c568ecc	d__Bacteria							
3540a08bac508cee482c74c3f88a74d8	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__	f__	g__	s__	
f851cb38711cf33492905a2dedf325f4	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A_737866	f__Enterobacteriaceae_A			
42c4a823a7ab1bf4d68ed863a3a103be	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A_737866	f__Enterobacteriaceae_A			
28da3ed611ca66f8579a130976b3aaae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A_737866	f__Enterobacteriaceae_A			
4f69912bd40b7a801f9ce62527bf2c73	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616050	f__Wenzhouxiangellaceae	g__Wenzhouxiangella	s__Wenzhouxiangella	sp007128175
d48a1046cefc1c418e60516b004479d1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616050	f__Wenzhouxiangellaceae	g__Wenzhouxiangella		
e0f4378cbda714a285141d30d01b93d0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616050	f__Wenzhouxiangellaceae	g__Wenzhouxiangella		
db8a6d7081d5b3c5da304f8beed03347	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616050	f__Wenzhouxiangellaceae	g__Wenzhouxiangella		
916707aa5aa47653e9393495d159c96e	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria					
3a4066658dc22a270ce9bcd2009f3a20	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__JAABTL01	s__JAABTL01	sp011390735
27167afcbe793e14896041d6b650fb26	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae			
8b7cbd720b4dc6267d2799e5fb0933f0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae_966727	g__Parafilimonas	s__	
0fd7a42547aece7ad11d669a45b7d421	d__Bacteria	p__Myxococcota_A_473307	c__Bradymonadia	o__Bradymonadales	f__Bradymonadaceae	g__Persicimonas	s__Persicimonas	caeni
0502017dbf411d0875838d7cb9b5ed46	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_641030	f__Halomonadaceae_641030	g__Halomonas_C_640989		
c5373cbab42690b580c88b086f54c61b	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__Membranicola	s__Membranicola	marinus
eaaa2799603f8924aea8f87a66ebc8f7	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A_737866	f__Pasteurellaceae			
b765df74924d75d82a12f3c1d04e25a1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_641030	f__Halomonadaceae_641030			
7212aa54270a39b8833060984dad2d08	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_641030	f__Halomonadaceae_641030			
eb30d9ef7107c3496d5371ca499058c3	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae_405955	g__Meiothermus_B_405754	s__Meiothermus_B_405754	silvanus
7697319079d2f0b5e1dec00aa6750282	d__Bacteria							
7dcbce9d81d4bd76be4a92bee3b6622d	d__Bacteria							
a131bb3539cdd41f6910eed87b30a81b	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VAYN01	s__VAYN01	sp005885405
dd42a4b9dbede6ccd5cd06eb8bbb3fab	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__RF39	f__UBA660	g__UBA3789	s__	
6c3ea5bbec7664e81987df52606e0f06	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Georgenia_386146	s__Georgenia	sediminis
6168266c1978d72a811041e65f5f8516	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
2fd81aba19bc818f9e4cb279f3ac4954	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Beutenbergiaceae			
c21b73b0eb4a0d6ed22a130e7199465e	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales				
9e57ca034012c602c0381d36ebd09903	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Beutenbergiaceae			
f5aed9efb8bf3f1ce2af441d23680d74	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae_390796	g__Janibacter_A_390549		
b1b4c3739752b5be1ccae1f189d918cf	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
5c158c90ae1c680f982122b31cb32d48	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
a298170ce1043c5e1f27cb04a959fea4	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia		
ef16e7a330232993669ed6658083627b	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__Nesterenkonia	flava
d3880c36a26df611d1fa0ecac3fde3f5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Saccharibacter		
84239d9513fc2bc9ab660f59b5aa59e6	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia		
dc374435a81ab0f88336e749c4448423	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia		
6f2f00b4df99bdbb3985abadac98574f	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Caldalkalibacillales	f__Bacillaceae_362014	g__Caldalkalibacillus_362014	s__Caldalkalibacillus	uzonensis
f0ca6c84cf673f4c2fe0dd49e6ab233d	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Lachnospirales	f__Lachnospiraceae	g__Fimousia	s__Fimousia	sp001940245
01caa308d4e9d878689f147d8db16cb4	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A_141780		
5f12ab4a504c89a61cc7611c3863c8a4	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas	sp000209385
651947c35e0b898fc304291f63e2dff9	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Lachnospirales	f__Lachnospiraceae			
d24c59638d8252c6612f9cf72bf175e4	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_B	s__	
52b20bb4e4421bac1b75ebb86d2d5bd0	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
babc6115f6576f68d730b235ac9cb5d6	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A_141781		
2a759880f54a8c5109414225620c14f0	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae_390796			
e663e66217619256e8af8d4f67624b21	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Tumebacillales	f__Tumebacillaceae	g__Tumebacillus_A	s__Tumebacillus_A	permanentifrigoris
bd5f265782a364682540c118be5ad7ec	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae_405308	g__Baekduia		
4749db0edd85739fe48cf883fb9a8a09	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495				
33ee17699626897f6b2548d8c9373cb5	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495				
0f8fcf4c8c50e2d11ee928607918f6f8	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
031c8103b40e70c70c0456c92bb2f779	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
76a8abb0366e37d5a9873a38a04835e4	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
f7bfbd262f293b52ef757e88854dcbcd	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
71130e918e0c8701369b5c65192f1d57	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
a08809f9d46ded2c71fda2283e3d25c9	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
c3436366dff136734a3f43d6c68a656d	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae			
1d47bddd83d5517022fbaa6baed1b446	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495				
02fd5504f8551a15bfeef4b4b809f5a9	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae			
4097ce4e87b092e6589caa0bfd732db0	d__Bacteria	p__Firmicutes_D	c__Bacilli					
8ec7b88cb422983fb68cabb5c879c05a	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella		
7550ff64074274112e065b09bdefa80d	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__Caldalkalibacillus_362013	s__Caldalkalibacillus	thermarum
f2a839b210131158004028411666363b	d__Bacteria	p__Firmicutes_D	c__Bacilli					
0451f6eb339dd5fd1be6df8891f0f57f	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__Caldalkalibacillus_362013	s__Caldalkalibacillus	thermarum
32aabb411240878456dbe7b2ed592f57	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__Caldalkalibacillus_362013	s__Caldalkalibacillus	thermarum
8e349512d7b1ec99a3acc0d58a213629	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae_405341	g__Conexibacter	s__Conexibacter	woesei
856f0bcea0821ac5471e7c54ccfe0f10	d__Bacteria	p__Firmicutes_D	c__Bacilli					
fbaf74b7429533d3bc01aa5f1dba9cb5	d__Bacteria	p__Firmicutes_D	c__Bacilli					
d5614b06c77389167e7802cfd0646149	d__Bacteria	p__Firmicutes_D	c__Bacilli					
fa65cd3933d1f44db67988e4254c0a02	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae			
4d7f272e5908175f06b933c38c0ade4f	d__Bacteria							
d8459bad689eced372af28ef917dc788	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Peptostreptococcales				
659427caafcbdd27a8e3a44f28cd52b5	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Peptostreptococcales	f__Peptostreptococcaceae_256921	g__Peptacetobacter	s__Peptacetobacter	hiranonis
4ae23ffa0553d8589848a9b497d2b32a	d__Bacteria	p__Firmicutes_A	c__Clostridia_258483	o__Tissierellales	f__Tissierellaceae			
18c9f32aa7324a86be692e7d749a7db4	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Thermomicrobiales	f__	g__	s__	
12866bccdcbff05431b79ba0fc0b12ea	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
4edb6716d6da6d12d1486472460b0c89	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Caldalkalibacillales	f__Caldalkalibacillaceae	g__Caldalkalibacillus_362013	s__Caldalkalibacillus	thermarum
9bb5c366e4a65915d5c3a97e21fc57f0	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium		
8f94d99e314db9cfc30ed06abd6561e9	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium		
63e4a510badc716bcdeb366e20c6db05	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium		
bdbd605932477c2249d48761d5f2c31b	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella		
e89dc9145e11c161a25049a839d96305	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
383a93ee451c3e78dd7893229f00a00d	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella_A		
f019b0d31699aebc5a54924897b17760	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_592522	f__Burkholderiaceae_A_592522			
86ad77603fdbe46fa7062ff951a5c681	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_592524	f__Burkholderiaceae_A_574758	g__Janthinobacterium_571526		
e5c4394f3c34d897f6cde7ac0f133f3a	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
6e99023ea40f5bf6e429da8d3b067de3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria					
d9725ccad9819809ea14c02f219a096f	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_595422	f__Burkholderiaceae_A_595422			
d5dc43535ad59af4a04a29892358e954	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_595422	f__Burkholderiaceae_A_595422			
0046ed3ca7f813c2eb321cd374884cb6	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_595422	f__Burkholderiaceae_A_595422			
da7de1d6a52f256e36b05e9917b9667a	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium		
5b46422127e7a02545c9a56b68ad7163	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Leucobacter		
026b184b7aa9614350a03f21ae4adf7e	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_592522	f__Burkholderiaceae_A_592522	g__Comamonas_F_589250		
b3f14b5037890cdc408a52a767e4834d	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_597432	f__Rhodocyclaceae			
4e82f243866430990115ff81cfeb64df	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia_402965	o__UBA5794	f__UBA5794	g__SZUA-442	s__SZUA-442	sp003235475
678f9c352747dd1cda146efda98af8f9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Bombella		
ccf0ee75e1e427b5a82481df671e2b7a	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae			
471da5dbae8af78abbfff1365a6970a1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Enteractinococcus		
2ca8cba6a5f71eb8f324be6671160b22	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Enteractinococcus	s__Enteractinococcus	coprophilus
